radio,ரேடியோ
kalaottiyalagugal,கலஓட்டியலகுகள்
alladhu,அல்லது
sukkaan,சுக்கான்
undhitthalliyin,உந்தித்தள்ளியின்
surunkaigal,சுருங்கைகள்
aagiyavattrin,ஆகிவற்றின்
meedhaana,மீதான
neerppaaivaik,நீர்ப்பாய்வைக்
karupporulaagak,கருப்பொருளாகக்
kolgiradhu,கொள்கிறது
</s>,</s>
ingulla,இங்குள்ள
naagar,நாகர்
sirpangal,சிற்பங்கள்
perumbaalum,பெரும்பாலும்
sudumannaal,சுடுமண்ணால்
seivikkap,செய்விக்கப்
pattavaiyaagum,பட்டவையாகும்
</s>,</s>
pogaadha,போகாத
ennavittu,என்னவிட்டு
enum,எனும்
paadalai,பாடலை
pradeep,பிரதீப்
kumar,குமார்
neha,நேஹா
venugopal,வேணுகோபால்
aagiyor,ஆகியோர்
paadiyullanar,பாடியுள்ளனர்
c.s.sam,சி.எஸ்.சாம்
paadalvarigalai,பாடல்வரிகளை
ezhudhiyullaar,எழுதியுள்ளார்
</s>,</s>
indha,இந்த
niruvanam,நிறுவனம்
iyarkkai,இயற்கை
kattamaippai,கட்டமைப்பை
ookkuvippadhodu,ஊக்குவிப்பதோடு
andha,அந்த
thozhilmuraiyai,தொழில்முறையை
ozhungamaikka,ஒழுங்கமைக்க
vendum,வேண்டும்
endra,என்ற
oru,ஒரு
nerimuraiyai,நெறிமுறையை
ozhungupadutthuvadhai,ஒழுங்குபடுத்துவதை
nokkamaagak,நோக்கமாகக்
kondulladhu,கொண்டுள்ளது
</s>,</s>
manaivi,மனைவி
shenbagavalli,செண்பகவல்லி
magangal,மகன்கள்
aadhavan,ஆதவன்
adheethan,அதீதன்
</s>,</s>
alladhu,அல்லது
vaanatthil,வானத்தில்
arugaruge,அருகருகே
thottramalipadhaayum,தோற்றமளிப்பதாயும்
unnmaiyil,உண்மையில்
sooriyanilirundhu,சூரியனிலிருந்து
vevveru,வெவ்வேறு
dhoorangalil,தூரங்களில்
iruppavaiyaagavum,இருப்பவையாகவும்
irukkalaam,இருக்கலாம்
</s>,</s>
wisconsin,விஸ்கான்சின்
palkalaikazhakatthin,பல்கலைகழகத்தின்
milwaukee,மில்வாக்கி
valaagatthil,வளாகத்தில்
kannini,கணினி
ariviyal,அறிவியல்
thuraiyil,துறையில்
pattamaerpadippu,பட்டமேற்படிப்பு
muditthaar,முடித்தார்
</s>,</s>
nyana,ஞான
baanu,பானு
subramaniya,சுப்ரமணிய
siva,சிவா
</s>,</s>
idhanaal,இதனால்
thanippattadhaana,தனிப்பட்டதான
oru,ஒரு
vilangaik,விலங்கைக்
kandarivadhu,கண்டறிவது
kadinamaagiradhu,கடினமாகிறது
</s>,</s>
pallipaadu,பல்லிபாடு
</s>,</s>
ivanadhu,இவனது
oor,ஊர்
neetoor,நீடூர்
enbadhu,என்பது
</s>,</s>
2,2
nanbargalai,நண்பர்களை
sandhippadharkaaga,சந்திப்பதற்காக
thiru,திரு
nanban,நண்பன்
sagotharikku,சகோதரிக்கு
vandhapodhu,வந்தபோது
yaar,​​யார்
maerpaarvaiyaalarin,மேற்பார்வையாளரின்
mosadikku,மோசடிக்கு
aalaanaar,ஆளானார்
</s>,</s>
canada,கனடா
makkal,மக்கள்
puttrunoyin,புற்றுநோயின்
vilaivugalaip,விளைவுகளைப்
purindhu,புரிந்து
kondaargal,கொண்டார்கள்
enbathaip,என்பதைப்
unarndha,உணர்ந்த
box,பாக்ஸ்
kandippaga,கண்டிப்பாக
makkal,மக்கள்
thaaraala,தாராள
manadhudan,மனதுடன்
nankodai,நன்கொடை
allippaargalena,அளிப்பார்களென
nambinaar,நம்பினார்
</s>,</s>
ivar,இவர்
11,11
thervuth,தேர்வுத்
thuduppaattap,துடுப்பாட்டப்
pottigalil,போட்டிகளில்
kalandhu,கலந்து
kondullaar,கொண்டுள்ளார்
</s>,</s>
joselin,ஜோசெலின்
jil,ஜில்
</s>,</s>
fevvel,பேஃவ்வல்
aattam,ஆட்டம்
vazhukkal,வழுக்கள்
aattradhu,அற்றது
ena,என
1931il,1931ல்
vilambarappadutthappattadhu,விளம்பரப்படுத்தப்பட்டது
</s>,</s>
vidhi,விதி
355,355
or,ஓர்
maanilatthai,மாநிலத்தை
velinaattu,வெளிநாட்டு
aakkiramippilirundhum,ஆக்கிரமிப்பிலிருந்தும்
ullnaattu,உள்நாட்டு
kalavarangalinpodhum,கலவரங்களின்போதும்
kaappadhai,காப்பதை
ondriya,ஒன்றிய
arasirku,அரசிற்கு
kattaayamaakkiyulladhu,கட்டாயமாக்கியுள்ளது
</s>,</s>
varungaalatthu,வருங்காலத்து
vaanoorthigalin,வானூர்திகளின்
ul,உள்
kattumaanangal,கட்டுமானங்கள்
pattriya,பற்றிய
vilakkangal,விளக்கங்கள்
mudhal,முதல்
pala,பல
ariya,அரிய
seidhigal,செய்திகள்
idhil,இதில்
veliyaagindrana,வெளியாகின்றன
</s>,</s>
ingu,இங்கு
mothijil,மோதிஜீல்
mahotsavam,மகோத்சவம்
endra,என்ற
vizha,விழா
nadatthappadugiradhu,நடத்தப்படுகிறது
</s>,</s>
javukkupalli,ஜவுக்குபள்ளி
</s>,</s>
pani,பணி
kaaranamaaga,காரணமாக
neenda,நீண்ட
naatkalaaga,நாட்களாக
thirumbaadha,திரும்பாத
thalaivar,தலைவர்
than,தன்
manaivikku,மனைவிக்கு
maegatthai,மேகத்தை
thoodhuviduvadhaaga,தூதுவிடுவதாக
ippaadal,இப்பாடல்
amaigiradhu,அமைகிறது
</s>,</s>
iyarkaiyil,இயற்கையில்
radium,ரேடியம்
uranium,யுரேனியம்
mattrum,மற்றும்
thorium,தோரியம்
thoodhukkalil,தாதுக்களில்
migachiriya,மிகச்சிறிய
alavil,அளவில்
kaannappadugiradhu,காணப்படுகிறது
</s>,</s>
ottatthinpodhu,ஓட்டத்தின்போது
sandhittha,சந்தித்த
makkalidam,மக்களிடன்
kobatthaiyum,கோபத்தையும்
virakthiyaiyum,விரக்தியையும்
kaattinaar,காட்டினார்
</s>,</s>
kattidangalin,கட்டிடங்களின்
uyarangalaiyum,உயரங்களையும்
oralavukku,ஓரளவுக்கு
arindhukolla,அறிந்துகொள்ள
nilaippadangal,நிலைப்படங்கள்
udhavakkoodum,உதவக்கூடும்
aayinum,ஆயினும்
thulliyamaana,துல்லியமான
alavugal,அளவுகள்
vettup,வெட்டுப்
padangalileye,படங்களிலேயே
kodukkappaduvadhu,கொடுக்கப்படுவது
vazhakkam,வழக்கம்
</s>,</s>
sittriyalbugal,சிற்றியல்புகள்
edhuvum,எதுவும்
idhil,இதில்
illai,இல்லை
</s>,</s>
idharku,இதற்குப்
palveru,பல்வேறு
kilai,கிளை
mozhigalum,மொழிகளும்
ullana,உள்ளன
</s>,</s>
idhan,இதன்
thalainagar,தலைநகர்
siddha,சித்தா
aagum,ஆகும்
</s>,</s>
chi,சி
goa,கோவா
anniyai,அணியை
03-Feb,03-Feb
enda,என்ற
goal,கோல்
kannakkil,கணக்கில்
thorkaditthadhu,தோற்கடித்தது
</s>,</s>
kanidhatthil,கணிதத்தில்
siriya,சிறிய
weblen,வெப்லன்
varisai,வரிசை
enbadhu,என்பது
periya,பொிய
enniddatthakka,எண்ணிடத்தக்க
varisaiyaagum,வரிசையாகும்
</s>,</s>
uttara,உத்தர
pradesa,பிரதேச
kaaval,காவல்
thurai,துறை
matthiya,மத்திய
pulanaaivuth,புலனாய்வுத்
thuraiyinarudan,துறையினருடன்
innaindhu,இணைந்து
visaarannaiyai,விசாரணையை
maerkondanar,மேற்கொண்டனர்
</s>,</s>
pannbutthogaiyil,பண்புத்தொகையில்
impaal,ஐம்பால்
thogum,தொகும்
</s>,</s>
indiavin,இந்தியாவின்
arasiyal,அரசியல்
pokkukuritthu,போக்குகுறித்து
migundha,மிகுந்த
kuraiyum,குறையும்
kavalaiyum,கவலையும்
kondirundha,கொண்டிருந்த
nilaiyil,நிலையில்
kamarajar,காமராசர்
irundhaar,இருந்தார்
indiavin,இந்தியாவின்
viduthalaikkup,விடுதலைக்குப்
paadupatta,பாடுபட்ட
jayaprakash,ஜெயப்பிரகாஷ்
narayanan,நாராயணன்
morarji,மொரார்ஜி
desai,தேசாய்
mattrum,மற்றும்
pala,பல
thalaivargal,தலைவர்கள்
ikkaalakattatthil,இக்காலகட்டத்தில்
indira,இந்திரா
gandhi,காந்தி
arasaal,அரசால்
kaidhu,கைது
seiyappattirundhanar,செய்யப்பட்டிருந்தனர்
</s>,</s>
ivvetriye,இவ்வெற்றியே
indiavil,இந்தியாவில்
aangileyar,ஆங்கிலேயர்
aatchi,ஆட்சி
thondriyathan,தோன்றியதன்
mudhal,முதல்
padiyaagak,படியாகக்
karudhappadugiradhu,கருதப்படுகிறது
</s>,</s>
avvaaru,அவ்வாறு
nigazhcchigal,நிகழ்ச்சிகள்
thondrum,தோன்றும்
podhu,போது
avan,அவள்
pannum,பண்ணும்
kalaatta,கலாட்டா
peridhaaga,பெரிதாக
irukkiradhu,இருக்கிறது
</s>,</s>
itthiraippadatthin,இத்திரைப்படத்தின்
isai,இசை
mattrum,மற்றும்
pinnani,பின்னணி
isaiyai,இசையை
uruvaakkiyavar,உருவாக்கியவர்
chi,சி
</s>,</s>
1751,1751
kizhakkindhiya,கிழக்கிந்திய
companypp,கம்பெனிப்
padaigal,படைகள்
thandaiyaar,தண்டையார்
pettaiyai,பேட்டையை
kaippattrinar,கைப்பற்றினர்
</s>,</s>
poo,பூ
sandhanam,சந்தனம்
ullitta,உள்ளிட்ட
varchanaip,வாசனைப்
porulgalaip,பொருள்களைப்
payanpadutthaamai,பயன்படுத்தாமை
</s>,</s>
ivarukku,இவருக்கு
kelichitthirakkaarargalin,கேலிச்சித்திரக்காரர்களின்
urimaikkaana,உரிமைக்கான
pannaattu,பன்னாட்டு
pinnaiyam,பிணையம்
crni,CRNI
2012aam,2012ஆம்
aandukkaana,ஆண்டுக்கான
kelichitthira,கேலிச்சித்திர
aasiriyaraaga,ஆசிரியராக
thunivu,துணிவு
endra,என்ற
virudhai,விருதை
vazhangiyulladhu,வழங்கியுள்ளது
</s>,</s>
siruvar,சிறுவர்
sirumiyar,சிறுமியர்
iruvaraiyum,இருவரையும்
mukkiyap,முக்கியப்
paatthirangalil,பாத்திரங்களில்
kondap,கொண்டப்
putthagangalil,புத்தகங்களில்
adhigamaaga,அதிகமாக
siruvarai,சிறுவரை
kavanappadutthiyadhu,கவனப்படுத்தியது
aanaal,ஆனால்
mukkiya,முக்கிய
sirumi,சிறுமி
kadhaapaatthirangal,கதாபாத்திரங்கள்
nights,நைட்ஸ்
castlil,காஸிலில்
,
thi,தி
lion,லயன்
the,தி
witch,விட்ச்
and,அண்ட்
the,தி
wardrobe,வார்ட்ரோப்
,
the,தி
book,புக்
of,ஆஃப்
three,த்ரீ
mattrum,மற்றும்
harry,ஹாரி
potter,பாட்டர்
thodarpugal,தொடர்கள்
aagiyavattril,ஆகியவற்றில்
thondrugindrana,தோன்றுகின்றன
</s>,</s>
idhu,இது
nadigar,நடிகர்
vijayum,விஜயும்
isaiyamaippaalar,இசையமைப்பாளர்
ye,ஏ
</s>,</s>
oruvarin,ஒருவரின்
urimaiyil,உரிமையில்
mattra,மற்ற
oruvar,ஒருவர்
thalaiyiduvadharku,தலையிடுவதற்கு
urimaiyillai,உரிமையில்லை
</s>,</s>
irandu,இரண்டு
mani,மணி
neram,நேரம்
nadandha,நடந்த
ikkalavaram,இக்கலவரம்
nalliravukkup,நள்ளிரவுக்குப்
pin,பின்
mudivukku,முடிவுக்கு
vandhadhu,வந்தது
</s>,</s>
kaanga,காண்க
</s>,</s>
ivattrin,இவற்றின்
mukkiya,முக்கிய
unnavu,உணவு
poochigal,பூச்சிகள்
</s>,</s>
1965,1965
sandhiyokumaiyor,சந்தியோகுமையோர்
aalayam,ஆலயம்
endra,என்ற
pazhaiya,பழைய
peyar,பெயர்
punidha,புனித
yaagappar,யாகப்பர்
enap,எனப்
peyar,பெயர்
maattram,மாற்றம்
seiyyappattadhu,செய்யப்பட்டது
</s>,</s>
bilkuva,பில்குவா
nagaraatchi,நகராட்சி
</s>,</s>
ilakkannavatthai,இலக்கணாவத்தை
enbadhu,என்பது
yaazhppaana,யாழ்ப்பாண
maavattam,மாவட்டம்
vadamaraatchiyil,வடமராட்சியில்
uduppittith,உடுப்பிட்டித்
therdhal,தேர்தல்
thogudhiyil,தொகுதியில்
ulla,உள்ள
oru,ஒரு
kiraamam,கிராமம்
</s>,</s>
ivvivarangal,இவ்விவரங்கள்
anaitthum,அனைத்தும்
kaavalthurai,காவல்துறை
visaarannaiyil,விசாரணையில்
veliyaagina,வெளியாகின
</s>,</s>
illaiyenil,இல்லையெனில்
andha,அந்த
kaayangal,காயங்கள்
mattrum,மற்றும்
noigal,நோய்கள்
andha,அந்த
nabarai,நபரை
maelum,மேலும்
aatkondu,ஆட்கொண்டு
uyirizhappai,உயிரிழப்பை
erpadutthum,ஏற்படுத்தும்
</s>,</s>
angu,அங்கு
avar,அவர்
thangiyirundha,தங்கியிருந்த
pozhudhu,பொழுது
kizhakku,கிழக்கு
cherchesh,சேர்சேஷ்
maalikaiyum,மாளிகையும்
andha,அந்த
nagarum,நகரும்
thee,தீ
vibatthil,விபத்தில்
saambalaana,சாம்பலான
pinmbu,பின்ம்பு
angirundhu,அங்கிருந்து
veliyerinaar,வெளியேறினார்
</s>,</s>
indhap,இந்தப்
pallu,பள்ளு
noolil,நூலில்
ulla,உள்ள
indhap,இந்தப்
paadal,பாடல்
annatthaiyum,அன்னத்தைத்
thoodhu,தூது
vidum,விடும்
paadalaaga,பாடலாக
ulladhu,உள்ளது
</s>,</s>
ennai,எண்ணெய்
mattrum,மற்றும்
iyarkkai,இயற்கை
erivaayu,எரிவாயு
kinnarugalil,கிணறுகளில்
thutthanaaga,துத்தநாக
puramaidu,புரோமைடு
kalandha,கலந்த
karaisalgal,கரைசல்கள்
payanpadutthappadugindrana,பயன்படுத்தப்படுகின்றன
</s>,</s>
pala,பல
kelvar,கேள்வர்
ulleer,உள்ளிர்
em,எம்
pangu,பங்கு
nirpeer,நிற்பீர்
vandhu,வந்து
paadham,பாதம்
thozha,தொழ
</s>,</s>
indha,இந்த
muraiyin,முறையின்
yaedhenum,ஏதேனும்
vazhimuraigalaip,வழிமுறைகளைப்
ye.kaa,எ.கா
haaming,ஹாமிங்
thooram,தூரம்
payanpadutthi,பயன்படுத்தி
avattrukku,அவற்றுக்கு
idaiye,இடையே
ulla,உள்ள
dhooram,தூரம்
kannakkidappadum,கணக்கிடப்படும்
</s>,</s>
soviet,சோவியத்
union,யூனியன்
pakistan,பாகிஸ்தான்
mattrum,மற்றும்
aikkiya,ஐக்கிய
america,அமெரிக்கா
aagiya,ஆகிய
naadugalil,நாடுகளில்
indiyath,இந்தியத்
thoodharaaga,தூதராகப்
paniyaattrinaar.1955,பணியாற்றினார்.1955
aam,ஆம்
aandil,ஆண்டில்
ivarukkup,இவருக்குப்
padmashri,பத்மசிறீ
virudhu,விருது
vazhangappattadhu,வழங்கப்பட்டது
</s>,</s>
ivarin,இவரின்
muyarchiyin,முயற்சியின்
payanaaga,பயனாக
mudhal,முதல்
ulagakkoppaip,உலகக்கோப்பைப்
poetti,போட்டி
1930-il,1930-இல்
nadatthappattadhu,நடத்தப்பட்டது
</s>,</s>
ivvidhaiyin,இவ்விதையின்
ulle,உள்ளே
kaarbokepchaa,கார்போகேப்சா
saaltidans,சால்டிடன்ஸ்
engira,என்கிற
andhap,அந்துப்
poocchiyin,பூச்சியின்
puzhu,புழு
vaazhgiradhu,வாழ்கிறது
</s>,</s>
idhu,இது
tharpodhaiya,தற்போதைய
thennamericavil,தென்னமெரிக்காவில்
pindhiya,பிந்திய
kireedesiyak,கிரீத்தேசியக்
kaalatthai,காலத்தைச்
serndhadhu,சேர்ந்தது
</s>,</s>
pasumpun,பசும்பூண்
chozhar,சோழர்
yaanaippadaiyai,யானைப்படையை
migudhiyaagak,மிகுதியாகக்
kondavar,கொண்டவர்
</s>,</s>
idhu,இது
aaroorpatti,அரூர்பட்டி
ooraatchiyinul,ஊராட்சியினுள்
amaindhulladhu,அமைந்துள்ளது
</s>,</s>
maiyavilagal,மையவிலகல்
visaiyaazhi,விசையாழி
</s>,</s>
yenendraal,ஏனென்றால்
orunaal,ஒருநாள்
ariviyal,அறிவியல்
munnettratthin,முன்னேற்றத்தின்
vilaivaaga,விளைவாக
andha,அந்த
nalavaazhvai,நலவாழ்வை
kannikkindra,கணிக்கின்ற
alaveedugal,அளவீடுகள்
kanndippaagak,கண்டிப்பாகக்
kanndupidikkappadum,கண்டுபிடிக்கப்படும்
andha,அந்த
alaveedugalin,அளவீடுகளின்
adippadaiyil,அடிப்படையில்
manitharum,மனிதரும்
thangal,தங்கள்
araneri,அறநெறி
vaazhkkaiyai,வாழ்க்கையை
amaithukkolvaargal,அமைத்துக்கொள்வார்கள்
</s>,</s>
shanmugam,சண்முகம்
chettiar,செட்டியார்
iyakkatthil,இயக்கத்தில்
velivandha,வெளிவந்த
itthiraippadatthil,இத்திரைப்படத்தில்
jaiganesh,ஜெய்கணேஷ்
rathi,ரதி
devi,தேவி
mattrum,மற்றும்
palarum,பலரும்
naditthullanar,நடித்துள்ளனர்
</s>,</s>
podhuvaaga,பொதுவாக
yerkanave,ஏற்கனவே
irukkum,இருக்கும்
vaarppurukkallukku,வார்ப்புருக்களுக்கு
ugandhadhaaga,உகந்ததாக
ulla,உள்ள
ulleedugalaip,உள்ளீடுகளைப்
pettru,பெற்று
adhan,அதன்
adippadaiyil,அடிப்படையில்
thodakka,தொடக்க
nilaiyil,நிலையில்
oppeettu,ஒப்பீட்டு
vazhimurai,வழிமுறை
seyalpadugiradhu,செயல்படுகிறது
</s>,</s>
karuvariyai,கருவறையை
adutthulla,அடுத்துள்ள
jagan,ஜெகன்
mohan,மோகன்
pancharathap,பஞ்சரதப்
paaniyil,பாணியில்
kattappattulladhu,கட்டப்பட்டுள்ளது
</s>,</s>
radium-barium,ரேடியம்-பேரியம்
adartthi,அடர்த்தி
veedham,வீதம்
radium-barium,ரேடியம்-பேரியம்
annu,அணு
nirai,நிறை
veedhatthudan,வீதத்துடன்
oppeettu,ஒப்பிட்டு
nokkatthakkadhaaga,நோக்கத்தக்கதாக
ulladhu,உள்ளது
</s>,</s>
itthannikaiyil,இத்தணிக்கையில்
sikkaamal,சிக்காமல்
seidhigalaip,செய்திகளைப்
parimaarik,பரிமாறிக்
kolla,கொள்ள
editthum,எடித்தும்
tolkienum,டோல்கீனும்
thangal,தங்கள்
kadithangalil,கடிதங்களில்
oru,ஒரு
thanippatta,தனிப்பட்ட
kuriyeettu,குறியீட்டு
muraiyaip,முறையைப்
payanpadutthi,பயன்படுத்தி
thagaval,தகவல்
parimaarik,பரிமாறிக்
kondanar,கொண்டனர்
</s>,</s>
thiraippadangal,திரைப்படங்கள்
</s>,</s>
idhanaith,இதனைத்
theevanappayiraagavum,தீவனப்பயிராகவும்
valarkkalaam,வளர்க்கலாம்
</s>,</s>
amaiccharavaiyin,அமைச்சரவையின்
thalaivaraai,தலைவராய்
irundhu,இருந்து
amaiccharavaik,அமைச்சரவைக்
koottangallukkuth,கூட்டங்களுக்குத்
thalaimai,தலைமை
thaanguvadhu,தாங்குவது
</s>,</s>
oru,ஒரு
vattatthinulle,வட்டத்தினுள்ளே
kuzhai,குழை
irukkum,இருக்கும்
</s>,</s>
aindhu,ஐந்து
oru,ஒரு
sofie,சோஃவி
german,ஜெர்மேன்
mudhanmai,முதன்மை
enn,எண்
aagum,ஆகும்
yenenil,ஏனெனில்
enbadhum,என்பதும்
oru,ஒரு
mudhanmai,முதன்மை
ennaagum,எண்ணாகும்
</s>,</s>
visaiyaazhigalil,விசையாழிகளில்
iranndaamnilai,இரண்டாம்நிலை
ottam,ஓட்டம்
</s>,</s>
1949,1949
aam,ஆம்
aandil,ஆண்டில்
cheenap,சீனப்
podhuvudamaik,பொதுவுடமைக்
katchi,கட்சி
vettripettru,வெற்றிபெற்று
cheenath,சீனத்
thalai,தலை
nilatthin,நிலத்தில்
cheena,சீன
makkal,மக்கள்
kudiyarasu,குடியரசு
niruvappattadhudan,நிறுவப்பட்டதுடன்
mukkiyamaana,முக்கியமான
pinnakkugal,பிணக்குகள்
mudivadaindhana,முடிவடைந்தன
</s>,</s>
samarasa,சமரச
theebam,தீபம்
</s>,</s>
moovarum,மூவரும்
podhunalavaaya,பொதுநலவாய
vilaiyaattukkalil,விளையாட்டுக்களில்
padhakkangal,பதக்கங்கள்
vendrullanar,வென்றுள்ளனர்
</s>,</s>
ingu,இங்கு
pudhaindhu,புதைந்து
irukkum,இருக்கும்
uranium,யுரேனியம்
400,145
ton,டன்
irukkum,இருக்கும்
endru,என்று
kannakittullanar,கணக்கிட்டுள்ளனர்
</s>,</s>
oru,ஒரு
kondrunniyin,கொன்றுண்ணியின்
pannpugal,பண்புகள்
alladhu,அல்லது
nadatthaiye,நடத்தையே
adhan,அதன்
irai,இரை
vilangugal,விலங்குகள்
thammai,தம்மை
evvaaaru,எவ்வாறு
urumaraitthuk,உருமறைத்துக்
kolgindrana,கொள்கின்றன
enbathaith,என்பதைத்
theermaanikkindrana,தீர்மானிக்கின்றன
</s>,</s>
congressu,காங்கிரசு
katchiyin,கட்சியின்
thozhirsangap,தொழிற்சங்கப்
pirivaana,பிரிவான
ai,ஐ
</s>,</s>
menporulaanadhu,மென்பொருளானது
sila,சில
vazhukkaludan,வழுக்களுடன்
podhuppayanpaattukku,பொதுப்பயன்பாட்டுக்கு
veliyidappaduvadhu,வெளியிடப்படுவது
vazhakkmaanadhe,வழக்கமானதே
</s>,</s>
baarmic,பார்மிக்
amilatthai,அமிலத்தை
sodium,சோடியம்
carbonattudan,கார்பனேட்டுடன்
vinaipuriyach,வினைபுரியச்
seidhu,செய்து
nadunilaiyaakkam,நடுநிலையாக்கம்
moolamaaga,மூலமாக
sodium,சோடியம்
bromide,பார்மேட்டு
aaivagatthil,ஆய்வகத்தில்
thayaarikkappadugiradhu,தயாரிக்கப்படுகிறது
</s>,</s>
1972,1972
-,–
californiavil,கலிபோர்னியாவில்
marannathandanaiyai,மரணதண்டனையை
edhirnokkiyirundha,எதிர்நோக்கியிருந்த
anaitthuk,அனைத்துக்
kaidhikalinadhum,கைதிகளினதும்
thandanaiyai,தண்டனையை
aayul,ஆயுள்
thandanaiyaaga,தண்டனையாக
maattra,மாற்ற
ammaanilatthin,அம்மாநிலத்தின்
uccha,உச்ச
needhimandram,நீதிமன்றம்
theerppu,தீர்ப்பு
vazhangiyadhu,வழங்கியது
</s>,</s>
ilithiya,இலிதியா
serasukaaya,சேரசுகாயா
</s>,</s>
thandaiyaattu,தண்டையாட்டு
enbadhu,என்பது
sivaperumaanin,சிவபெருமானின்
nootriyettuth,நூற்றியெட்டுத்
thaandavangalul,தாண்டவங்களுள்
ondraagum,ஒன்றாகும்
bharathanaattiyatthil,பரதநாட்டியத்தில்
idamperugindra,இடம்பெறுகின்ற
nootriyettu,நூற்றியெட்டு
karannangalil,கரணங்களில்
idhu,இது
muppatthu,முப்பத்து
aaraavadhu,ஆறாவது
karannamaagum,கரணமாகும்
</s>,</s>
pettror,பெற்றோர்
kuppusamy-valliyammai,குப்புசாமி-வள்ளியம்மை
</s>,</s>
podhuvaana,பொதுவான
enn,எண்
pulangalin,புலன்களின்
pala,பல
pannpugal,பண்புகள்
q,Q
in,இன்
pannpugalai,பண்புகளை
maadhiriyaaga,மாதிரியாக
maattriyamaikkappadugindrana,மாற்றியமைக்கப்படுகின்றன
</s>,</s>
uyir,உயிர்
mayangiyal,மயங்கியல்
</s>,</s>
maavatta,மாவட்ட
aatchiyaraaga,ஆட்சியராகப்
paniyil,பணியில்
serndha,சேர்ந்த
mudhal,முதல்
naalileye,நாளிலேயே
mann,மண்
kadatthalai,கடத்தலைத்
thadukka,தடுக்க
muyarcchigalai,முயற்சிகளை
maerkondaar,மேற்கொண்டார்
</s>,</s>
itthittatthin,இத்திட்டத்தின்
keezh,கீழ்
nidhiyudhavi,நிதியுதவி
pera,பெற
keezhkaannum,கீழ்காணும்
nibandhanaikallukkutpattirukka,நிபந்தனைகளுக்குட்பட்டிருக்க
vendum,வேண்டும்
</s>,</s>
oliviyal,ஒலியியல்
veppa,வெப்ப
meeyoli,மீயொலி
mattrum,மற்றும்
veru,வேறு
pala,பல
thozhil,தொழில்
nutpangal,நுட்பங்கள்
payanpadutthappadugindrana,பயன்படுத்தப்படுகின்றன
</s>,</s>
maelum,மேலும்
ariviyal,அறிவியல்
aarvalargal,ஆர்வலர்கள்
palavidha,பலவித
parakkum,பறக்கும்
endhirangalai,எந்திரங்களை
kuraivaana,குறைவான
munnettrangalodu,முன்னேற்றங்களோடு
sodhitthukkondirundhanar,சோதித்துக்கொண்டிருந்தனர்
</s>,</s>
idhu,இது
ghaziabad,காசியாபாத்
makkalavaith,மக்களவைத்
thogudhikku,தொகுதிக்கு
utpattadhu,உட்பட்டது
</s>,</s>
thedivarum,தேடிவரும்
yengalpagai,எங்கள்பகை
odividach,ஓடிவிடச்
seivom,செய்வோம்
</s>,</s>
ivar,இவர்
moondru,மூன்று
thervuth,தேர்வுத்
thuduppaattap,துடுப்பாட்டப்
pottigalilum,போட்டிகளிலும்
,
naangu,நான்கு
orunaal,ஒருநாள்
pannaattuth,பன்னாட்டுத்
thuduppaattap,துடுப்பாட்டப்
pottigalilum,போட்டிகளிலும்
kalandhu,கலந்து
kondullar,கொண்டுள்ளார்
</s>,</s>
thirukattupalli,திருக்காட்டுப்பள்ளி
ramasamy,இராமசாமி
mudaliar,முதலியார்
seidhadhu,செய்தது
</s>,</s>
narayana,நாராயண
iyer,ஐயர்
isaiyamaitthirundhaar,இசையமைத்திருந்தார்
</s>,</s>
aaruvadharku,ஆறுவதற்கு
mun,முன்
villaigal,வில்லைகள்
podavum,போடவும்
</s>,</s>
amerikka,அமெரிக்க
kadarpadaiyin,கடற்படையின்
padi,படி
immukkonam,இம்முக்கோணம்
illai,இல்லை
endrum,என்றும்
peyar,பெயர்
puviyiyal,புவியியல்
peyargal,பெயர்கள்
americca,அமெரிக்க
vaariyam,வாரியம்
moolam,மூலம்
angeegarikkappadavillai,அங்கீகரிக்கப்படவில்லை
endrum,என்றும்
koorappadugiradhu,கூறப்படுகிறது
</s>,</s>
komagan,கோமகன்
ning-kovin,நிங்-கோவின்
moottha,மூத்த
peran,பேரன்
siya,சியா
pyu,ப்யூ
siru,சிறு
vayadhil,வயதில்
kaalamaanaar,காலமானார்
</s>,</s>
aanaal,ஆனால்
andha,அந்த
aattam,ஆட்டம்
or,ஓர்
iravaadha,இறவாத
pugazh,புகழ்
pettra,பெற்ற
aattam,ஆட்டம்
endrum,என்றும்
oppumai,ஒப்புமை
koora,கூற
mudiyaadha,முடியாத
oru,ஒரு
paarampariya,பாரம்பரிய
aattam,ஆட்டம்
endrum,என்றும்
kaasupparo,காசுப்பரோ
kurippittullaar,குறிப்பிட்டுள்ளார்
!,!
</s>,</s>
pevval,பேஃவ்வல்
enbadhu,என்பது
iyandhiratthil,இயந்திரத்தில்
vilayaadappatta,விளையாடப்பட்ட
mudhal,முதல்
pinpaal,பின்பால்
aattam,ஆட்டம்
aagum,ஆகும்
</s>,</s>
adhan,அதன்
kaai,காய்
choool,சூல்
konda,கொண்ட
iraal,இறால்
meengal,மீன்கள்
pola,போல
irukkumaam,இருக்குமாம்
</s>,</s>
indhak,இந்தக்
karuvigal,கருவிகள்
kadandha,கடந்த
naarpadhu,நாற்பது
varudangalaaga,வருடங்களாக
visaiyaazhi,விசையாழி
vadivamaippil,வடிவமைப்பில்
nilaiyaana,நிலையான
